"","name","price","sex","height","color","location","markings","weight","foaldate","registrations","disciplines","temperament","link"
"7773","THE ENGLISH MAJOR",5000,"Gelding","16.0 hands","Bay","Cedarville, Ohio","white rear pastern","","Apr-07","AQHA - American Quarter Horse Association ()","Barrel Racing (Prospect) Eventing (Prospect) Jumper (Prospect) Dressage (Prospect) Equitation (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2822030.html"
"966","Scoots Dandy Deb",3000,"Mare","14.3 hands","Sorrel","Kingston, Ohio","white blaze, two back white socks","750 pounds","Apr-08","AQHA - American Quarter Horse Association (message for #)","Reined Cow Horse (Competed or Shown) Reining (Trained) Team Penning (Prospect) Competitive Trail Competitions (Trained) Working Cow Horse (Trained)",4,"http://www.equine.com/horses-for-sale/horse-ad-2885915.html"
"2643","Frankie",15000,"Gelding","","Bay","Santa Barbara, California","","","May-06","","Jumper (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2776368.html"
"4978","Mason",3800,"Gelding","14.3 hands","Chestnut","Raymond, New Hampshire","","950 pounds","Jan-04","","Hunter Under Saddle (Prospect) Trail Horse (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2812761.html"
"1860","Reace",2500,"Mare","15.2 hands","Bay","Mansfield, Connecticut","","","Jan-06","","Jumper (Champion) Eventing (Trained) Youth/4-H Horse (Prospect) Endurance Riding (Trained) Competitive Trail Competitions (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2832208.html"
"4333","Scotch",8500,"Gelding","16.3 hands","Bay","Atlantic Highlands, New Jersey","","1500 pounds","Aug-06","","Hunter (Prospect) Jumper (Prospect) Trail Horse (Trained) English Pleasure (Rank Not Applicable) Dressage (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2849698.html"
"6604","Cool Zippin Lee Robber",2500,"Gelding","15.2 hands","Bay","Cunningham, Kentucky","left front and hind sock, blaze","","May-09","AQHA - American Quarter Horse Association (5193055)","Trail Horse ",3,"http://www.equine.com/horses-for-sale/horse-ad-2845269.html"
"8805","Sheiks Southern Hank",2500,"Gelding","15.1 hands","Bay","Southwick, Massachusetts","","","Feb-98","AQHA - American Quarter Horse Association ()","Western Pleasure (Competed or Shown) English Pleasure (Prospect) Ranch Sorting (Competed or Shown) Trail Horse (Competed or Shown)",4,"http://www.equine.com/horses-for-sale/horse-ad-2787744.html"
"8700","SSH Williamstown",25000,"Gelding","16.0 hands","Bay","West Palm Beach, Florida","White Snip","1200 pounds","May-04","USEF - United States Equestrian Federation ()","Hunter (Champion)",3,"http://www.equine.com/horses-for-sale/horse-ad-2801661.html"
"6240","Two Eyed Bellerina",2500,"Mare","15.2 hands","Palomino","Thomasville, North Carolina","","1100 pounds","Mar-07","AQHA - American Quarter Horse Association (4970924)","Trail Horse (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2850732.html"
"9272","Okies Little Whiz",5500,"Mare","14.3 hands","Roan","Blanchard, Oklahoma","Star, Strip and Snip. Left fore pastern. Left Hind Sock.","1050 pounds","Apr-02","AQHA - American Quarter Horse Association (4240405)","Barrel Racing (Prospect) Working Cow Horse (Trained) Team Penning (Champion) Ranch Sorting (Champion) Cutting (Competed or Shown)",4,"http://www.equine.com/horses-for-sale/horse-ad-2672381.html"
