"","name","price","sex","height","color","location","markings","weight","foaldate","registrations","disciplines","temperament","link"
"2041","",1995,"Gelding","14.2 hands","Grey","Wantage, New Jersey","","","Jul-07","AQHA - American Quarter Horse Association (5034486)","Team Sorting (Prospect) Team Penning (Prospect) Ranch Horse (Prospect) Cutting (Prospect) Calf Roping (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2825540.html"
"6490","Shasta",2500,"Mare","15.3 hands","Bay","Roseboro, North Carolina","white stockinds and perfect blaze","1600 pounds","May-06","","Driving (Champion) Draft (Champion) Trail Horse (Champion) Breeding (Prospect) Pleasure Driving (Champion)",5,"http://www.equine.com/horses-for-sale/horse-ad-2845582.html"
"5878","Rosalita",3000,"Mare","13.3 hands","Sorrel","Guilford, New York","","","Jun-11","","Trail Horse  Gaited ",6,"http://www.equine.com/horses-for-sale/horse-ad-2878616.html"
"1870","A FEDERAL HOLIDAY",8500,"Mare","15.0 hands","Grey","HOLSTEIN, Iowa","star, strip, & snip. 3 white socks.","","Apr-05","AQHA - American Quarter Horse Association ()","Western Pleasure (Show) (Competed or Shown) Youth/4-H Horse (Prospect) Horsemanship (Prospect) Trail Horse (Prospect) English Pleasure (Prospect)",1,"http://www.equine.com/horses-for-sale/horse-ad-2805902.html"
"7542","Apollo Amaroan",4000,"Gelding","16.2 hands","Bay","Muskego, Wisconsin","None","","Feb-07","FSHR - Friesian Sport Horse Registry (2007468)","Trail Horse (Prospect) Dressage (Prospect) English Pleasure (Prospect) Jumper (Prospect) Western Pleasure (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2817811.html"
"1751","Rois Dusty Flair",1800,"Mare","15.0 hands","Bay","Sigel, Illinois","Full leopard","","Sep-10","ApHC - Appaloosa Horse Club ()","Eventing (Prospect) Jumper (Prospect) Trail Horse (Prospect) Dressage (Prospect) Brood Mare (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2838384.html"
"6196","Messin With Success",6500,"Gelding","15.0 hands","Palomino","Essex, Ontario, Canada","Right hind sock & left hind fetlock","1050 pounds","Mar-98","AQHA - American Quarter Horse Association (3705882) NRHA National Reining Horse Association (523775)","Reining (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2851395.html"
"3268","Monogrammed",75000,"Gelding","16.3 hands","Grey","Spotsylvania, Virginia","","1250 pounds","Jan-03","","Beginner/Family (Trained) Field Hunter (Prospect) Sidesaddle (Champion) Equitation (Competed or Shown) Hunter (Champion)",3,"http://www.equine.com/horses-for-sale/horse-ad-2724163.html"
"711","Peptos Smokin Jets",2000,"Mare","","Sorrel","Covelo, California","Blaze and socks","","May-12","AQHA - American Quarter Horse Association (5475845)","",5,"http://www.equine.com/horses-for-sale/horse-ad-2663582.html"
"2319","True Jazz",6500,"Mare","16.1 hands","Grey","Farmville, Virginia","","1200 pounds","May-05","","Field Hunter  Hunter  Equitation  Jumper ",3,"http://www.equine.com/horses-for-sale/horse-ad-2811855.html"
"1827","Mykie",6000,"Mare","15.0 hands","Grey","Ostrander, Ohio","","","May-04","FSHR - Friesian Sport Horse Registry (2004412)","Trail Horse  Dressage ",8,"http://www.equine.com/horses-for-sale/horse-ad-2742313.html"
"8651","Big Boy",0,"Gelding","15.0 hands","Bay","Vernon, Florida","Star, 3 socks","","Jan-03","","Companion Only (Rank Not Applicable)",2,"http://www.equine.com/horses-for-sale/horse-ad-2802486.html"
"14","Duncan",5000,"Gelding","14.0 hands","Brown","Southbury, Connecticut","Right blue eye, four socks, big blaze","750 pounds","Apr-12","","Jumper (Prospect) Field Hunter (Prospect) Eventing (Prospect) Dressage (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2886133.html"
"2625","Legendary",7500,"Gelding","13.2 hands","Grey","Walnut Creek, Ohio","","500 pounds","Apr-96","USEF - United States Equestrian Federation ()","Hunter (Champion)",1,"http://www.equine.com/horses-for-sale/horse-ad-2722413.html"
"4552","Nothing Like It",800,"Gelding","15.3 hands","Bay","Kirtland, Ohio","","","Feb-03","JC - Jockey Club ()","Eventing  Dressage  Jumper ",6,"http://www.equine.com/horses-for-sale/horse-ad-2840750.html"
"4841","Henny",2500,"Mare","16.0 hands","Grey","Alvarado, Texas","Star, Strip,and snip","","Feb-00","AQHA - American Quarter Horse Association (0376066)","Western Riding (Trained) Brood Mare (Champion)",5,"http://www.equine.com/horses-for-sale/horse-ad-2824892.html"
"8565","Brain",1500,"Gelding","15.2 hands","Palomino","Delaware, Delaware","","","Jan-05","PHA- Palomino Horse Association () PHBA - Palomino Horse Breeders of America ()","Barrel Racing (Trained) Draft (Competed or Shown)",1,"http://www.equine.com/horses-for-sale/horse-ad-2803691.html"
"838","Bonnie",1000,"Mare","14.1 hands","Chestnut","Lebanon, Tennessee","","1000 pounds","Jan-02","","Beginner/Family (Trained) Drill Team (Trained) Lesson Horse (Trained) Trail Horse (Trained)",1,"http://www.equine.com/horses-for-sale/horse-ad-2775780.html"
"430","Smartys Sonscoot",5500,"Gelding","14.1 hands","Brown","Dallas, Texas","","1000 pounds","Feb-09","AQHA - American Quarter Horse Association (5221715)","Team Sorting (Competed or Shown) Barrel Racing (Trained) Ranch Sorting (Trained) Team Penning (Trained) Trail Horse (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2751052.html"
"1622","Layla",9000,"Mare","15.3 hands","Grey","Holly, Michigan","","","Jan-99","","Hunter (Champion)",4,"http://www.equine.com/horses-for-sale/horse-ad-2837646.html"
"4261","DF Silver Jasimin",2000,"Mare","14.2 hands","Bay","Loudon, Tennessee","blaze with 3 socks","800 pounds","Jun-97","AHA - Arabian Horse Association (0550212)","Dressage  Hunter (Prospect) Brood Mare (Rank Not Applicable) Trail Horse (Rank Not Applicable)",3,"http://www.equine.com/horses-for-sale/horse-ad-2850761.html"
"9054","Blue Dude Illuminator",1800,"Gelding","14.3 hands","Grey","Park Hill, Oklahoma","none","1050 pounds","May-09","AQHA - American Quarter Horse Association (5181275)","Barrel Racing (Prospect) Team Roping (Prospect) Ranch Horse (Prospect) Trail Horse (Trained) Calf Roping (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2753380.html"
"5652","Bengie",1000,"Gelding","15.1 hands","Bay","Grafton, Massachusetts","","","May-90","","Trail Horse (Trained) Youth/4-H Horse (Trained) Hunter (Competed or Shown)",1,"http://www.equine.com/horses-for-sale/horse-ad-2881661.html"
"6671","Doc( AQHA Pending)",1800,"Stallion","","Buckskin","Boerne, Texas","","","Mar-13","AQHA - American Quarter Horse Association ()","",2,"http://www.equine.com/horses-for-sale/horse-ad-2844505.html"
"783","Hott Flash",15000,"Mare","16.0 hands","Bay","Amarillo, Texas","Star and Sock","","May-05","AQHA - American Quarter Horse Association (4789517)","Western Pleasure (Show) (Competed or Shown) Hunter Under Saddle (Competed or Shown) Equitation (Competed or Shown) Horsemanship (Competed or Shown) Halter (Competed or Shown)",5,"http://www.equine.com/horses-for-sale/horse-ad-2719636.html"
"7696","Fhame n Phortion",1000,"Mare","14.3 hands","Chestnut","Bloomfield, Iowa","blaze 3 socks","800 pounds","Jul-96","AHA - Arabian Horse Association (538108)","Barrel Racing (Competed or Shown) Beginner/Family (Trained) Lesson Horse (Trained) Youth/4-H Horse (Trained) Western Pleasure (Show) (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2823045.html"
"5351","",1500,"Mare","14.2 hands","Bay","Gwinner, North Dakota","","950 pounds","Jan-97","","Breeding (Rank Not Applicable) Youth/4-H Horse (Trained) Trail Horse (Trained) Gaited (Trained) Competitive Trail Competitions (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2886075.html"
"5081","I'm Da Chick",5900,"Mare","15.2 hands","Chestnut","Paso Robles, California","2 socks & blaze","1000 pounds","May-02","AQHA - American Quarter Horse Association ()","Trail Horse  Jumper ",5,"http://www.equine.com/horses-for-sale/horse-ad-2803233.html"
"5775","Gemstone",60000,"Mare","17.1 hands","Grey","Knoxville, Tennessee","","1500 pounds","Apr-04","","Dressage (Competed or Shown)",2,"http://www.equine.com/horses-for-sale/horse-ad-2880546.html"
"6308","Wins All The Time aka Boots",18500,"Gelding","15.3 hands","Chestnut","Rancho Santa Fe, California","4 White Feet and half white face. Left blue eye and half blue right eye.","","Apr-05","APHA - American Paint Horse Association (851,092) PtHA - Pinto Horse Association of America (139393) National Snaffle Bit Association Breeders Championship Futurity (851,092)","Hunter ",5,"http://www.equine.com/horses-for-sale/horse-ad-2850571.html"
"4448","Josie",2500,"Mare","16.3 hands","Bay","Ridgewat, South Carolina","","","Jan-07","","Eventing ",6,"http://www.equine.com/horses-for-sale/horse-ad-2817068.html"
"5195","Ima Sudden Goodbar",6000,"Mare","15.0 hands","Chestnut","Eyota, Minnesota","Blaze, dark spots on face. Left hind sock","","Mar-06","AQHA - American Quarter Horse Association (4818636)","Equitation (Champion) Horsemanship (Competed or Shown) Hunter Under Saddle (Competed or Shown) Showmanship (Competed or Shown) Western Pleasure (Show) (Competed or Shown)",2,"http://www.equine.com/horses-for-sale/horse-ad-2440292.html"
"7998","Long Story Short",15000,"Gelding","13.2 hands","Pinto","Eugene, Oregon","Buckskin and white with black mane and tail","800 pounds","Jan-02","PtHA - Pinto Horse Association of America ()","Eventing (Competed or Shown) Dressage (Competed or Shown) Jumper (Competed or Shown) Trail Horse (Competed or Shown) Team Penning (Competed or Shown)",5,"http://www.equine.com/horses-for-sale/horse-ad-2817041.html"
"1431","Poco Hibrow",2300,"Gelding","14.2 hands","Chestnut","Windsor, Illinois","white blaze","1100 pounds","Apr-08","AQHA - American Quarter Horse Association (5057157)","Cutting (Prospect) Ranch Horse (Prospect) Trail Horse (Trained) Ranch Sorting (Trained) Team Sorting (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2850737.html"
"8982","ACOOLEST MISS",2500,"Mare","16.0 hands","Sorrel","Murrieta, California","","1100 pounds","Feb-10","AQHA - American Quarter Horse Association (5356990)","Brood Mare ",5,"http://www.equine.com/horses-for-sale/horse-ad-2773731.html"
"1891","PNA Chubby Chip Hancock",1400,"Stallion","","Roan","Loma, Montana","bay roan with hind socks","","Apr-11","AQHA - American Quarter Horse Association (5442600)","Breeding (Prospect) Cowboy Mounted Shooting (Prospect) Working Cow Horse (Prospect) Trail Horse (Prospect) Ranch Horse (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2830615.html"
"3586","",2500,"Mare","15.2 hands","Black","plymouth , Pennsylvania","","","Jan-08","","Dressage (Prospect) Hunter (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2669673.html"
"6354","Rex",4000,"Gelding","16.0 hands","Bay","riverside / norco, California","","","May-96","","Beginner/Family (Trained) Lesson Horse (Trained) Trail Horse (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2849723.html"
"6276","Flippin Eh",6500,"Gelding","16.1 hands","Sorrel","Broadview, Saskatchewan, Canada","flaxen mane and tail, stripe and back sock","","Jun-08","CSHA - Canadian Sport Horse Association ()","Dressage (Prospect) Hunter (Prospect) Jumper (Prospect) Hunter Under Saddle (Competed or Shown) Eventing (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2850644.html"
"1199","Butterfly Kisses",18000,"Mare","13.1 hands","Grey","Atlanta, Georgia","","","Jan-04","","Hunter (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2823107.html"
"7586","Pogo (Turkey)",400,"Gelding","16.0 hands","Grey","Phelan, California","Blaze and hind sock","","Feb-09","JC - Jockey Club (0907690)","Dressage (Prospect) Eventing (Prospect) Equitation (Prospect) Jumper (Prospect) Hunter (Prospect)",4,"http://www.equine.com/horses-for-sale/horse-ad-2826104.html"
"2505","EZ Bright Question",4500,"Gelding","15.3 hands","Chestnut","Stanwood, Michigan","Blaze, Hind Socks","1000 pounds","Apr-08","ApHC - Appaloosa Horse Club (N655792)","Hunter Under Saddle (Trained) Jumper (Prospect) Western Pleasure (Show) (Competed or Shown)",4,"http://www.equine.com/horses-for-sale/horse-ad-2801024.html"
"8918","Espinoza",1800,"Mare","14.3 hands","Palomino","Waynesburg, Kentucky","","","Jun-10","","Dressage (Prospect) Trail Horse (Prospect) Field Hunter (Prospect) Youth/4-H Horse (Prospect) Breeding (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2786887.html"
"6966","Grazie",2500,"Mare","16.1 hands","Chestnut","Carlock, Illinois","Blaze, socks","","Apr-99","","Jumper  Hunter  Trail Horse  Dressage  Beginner/Family ",2,"http://www.equine.com/horses-for-sale/horse-ad-2839121.html"
"3267","PS SIGN THE CHEQUE",2000,"Mare","","Bay","Mount Brydges , Ontario, Canada","","","Apr-12","AQHA - American Quarter Horse Association ()","Longe-Line (Prospect) Western Pleasure (Show) (Prospect)",1,"http://www.equine.com/horses-for-sale/horse-ad-2724180.html"
"3287","Bannon",345,"Gelding","16.1 hands","Bay","Califon, New Jersey","","","Apr-01","","Jumper (Competed or Shown) Eventing (Competed or Shown) Dressage (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2600766.html"
"2601","Come Clear",2500,"Gelding","15.2 hands","Bay","Wilmington, Illinois","Star","","Jan-08","JC - Jockey Club (0840918)","Hunter (Prospect) Jumper (Prospect) Eventing (Prospect) Dressage (Prospect) Trail Horse (Trained)",4,"http://www.equine.com/horses-for-sale/horse-ad-2784198.html"
"6126","CS Voo Doo Lamour",1800,"Mare","","Buckskin","Humansville, Missouri","","","Apr-13","AQHA - American Quarter Horse Association ()","Barrel Racing  Reined Cow Horse  Team Roping  Working Cow Horse ",2,"http://www.equine.com/horses-for-sale/horse-ad-2854092.html"
"8977","FIONA",2000,"Mare","16.2 hands","Chestnut","Woodruff, South Carolina","blaze","","Jun-99","Oldenburg Registry North America (33-94161-99)","Dressage (Trained) Eventing (Trained)",4,"http://www.equine.com/horses-for-sale/horse-ad-2775761.html"
"1183","Talent In Motion (Tim)",6500,"Gelding","15.3 hands","Chestnut","Bradford, Rhode Island","Blaze","","Mar-10","","Hunter (Prospect) Eventing (Prospect) Dressage (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2881054.html"
"1223","Spike",1000,"Gelding","16.1 hands","Chestnut","Milford, New York","Connect Star/Strip/Snip; Hind Socks; RF Coronet; LF Pastern","1200 pounds","Jan-99","","English Pleasure  Hunter (Prospect) Jumper (Prospect) Western Riding ",5,"http://www.equine.com/horses-for-sale/horse-ad-2879942.html"
"2398","Skip and Win (Muffit)",10000,"Mare","16.0 hands","Grey","Weirsdale, Florida","","","Apr-06","JC - Jockey Club ()","Jumper (Prospect) Dressage (Prospect) Eventing (Prospect) Youth/4-H Horse (Prospect) Field Hunter (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2803795.html"
"7001","North Star lit Diamond",3200,"Mare","16.0 hands","Chestnut","killingly, Connecticut","","","Apr-04","","Hunter (Competed or Shown) Jumper (Competed or Shown) Trail Horse (Competed or Shown) Eventing (Competed or Shown) Lesson Horse (Competed or Shown)",4,"http://www.equine.com/horses-for-sale/horse-ad-2838383.html"
"3846","Blue",12000,"Gelding","16.0 hands","Bay","Ocala, Florida","","","Mar-02","","Dressage (Trained) Jumper (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2886064.html"
"469","P S CALLING CARD",40000,"Mare","15.3 hands","Roan","MYAKKA CITY, Florida","blaze and sock","1100 pounds","Feb-05","AQHA - American Quarter Horse Association (X0640514) USEF - United States Equestrian Federation (5167128)","Dressage ",1,"http://www.equine.com/horses-for-sale/horse-ad-2726231.html"
"7398","Black Beauty",500,"Mare","15.0 hands","Black","Lafayette, Alabama","Star, Front sock","1000 pounds","Jan-05","","Barrel Racing (Competed or Shown) Breeding (Trained) Trail Horse (Champion) Pole Bending (Competed or Shown) Brood Mare (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2829768.html"
"1188","Ryet",7500,"Mare","","Black","Cannon Falls, Minnesota","","","May-13","FPS (Pending)","Dressage (Prospect) Breeding (Prospect) Driving (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2881029.html"
"903","Smart Black N Dry",4500,"Mare","15.0 hands","Black","London, Ohio","","","Apr-09","AQHA - American Quarter Horse Association (5206398)","Horsemanship (Trained) Equitation (Trained) Western Pleasure (Show) (Trained) Youth/4-H Horse (Competed or Shown) Showmanship (Prospect)",1,"http://www.equine.com/horses-for-sale/horse-ad-2886753.html"
"3226","Zuess",2950,"Gelding","14.1 hands","Bay","Glendale, Arizona","","1150 pounds","Jan-00","","Competitive Trail Competitions (Trained) Ranch Horse (Trained) Trail Horse (Trained) Lesson Horse (Trained) Beginner/Family (Trained)",2,"http://www.equine.com/horses-for-sale/horse-ad-2726148.html"
"8594","Black stallion for dressage and breeding",72000,"Stallion","16.3 hands","Black","Dresden,","","","Apr-11","","Breeding  Dressage ",5,"http://www.equine.com/horses-for-sale/horse-ad-2803143.html"
"4236","White Star, aka Brutus",14000,"Gelding","17.0 hands","Grey","Earlysville, Virginia","3 white socks","","Jan-05","","Hunter (Competed or Shown) Field Hunter (Competed or Shown) Sidesaddle (Competed or Shown) Equitation (Competed or Shown)",5,"http://www.equine.com/horses-for-sale/horse-ad-2851477.html"
"2393","Cody's Rebel Scout",10000,"Gelding","15.2 hands","Bay","Plainville, Massachusetts","blaze, 4 white socks","","May-02","APHA - American Paint Horse Association (784732)","Eventing (Competed or Shown) Dressage (Competed or Shown) Beginner/Family (Rank Not Applicable) Lesson Horse (Rank Not Applicable)",3,"http://www.equine.com/horses-for-sale/horse-ad-2805081.html"
"8767","Vistosa 2004",8500,"Mare","16.0 hands","Bay","Gordonsville, Virginia","star","","Apr-04","IALHA - International Andalusian & Lusitano Horse Association ()","Lesson Horse (Trained) Dressage (Competed or Shown) Field Hunter (Competed or Shown) Jumper (Competed or Shown) Eventing (Competed or Shown)",3,"http://www.equine.com/horses-for-sale/horse-ad-2799637.html"
"1696","Cash On Birthday",5000,"Gelding","15.3 hands","Sorrel","Pekin, Indiana","","","Feb-92","","Western Pleasure (Show) (Competed or Shown) Showmanship (Competed or Shown) English Pleasure (Competed or Shown) Horsemanship (Competed or Shown) Western Riding (Competed or Shown)",1,"http://www.equine.com/horses-for-sale/horse-ad-2607980.html"
"3864","Hex",1300,"Stallion","15.0 hands","Chestnut","Sparta, Wisconsin","few spot","200 pounds","Mar-13","ApHC - Appaloosa Horse Club (pending)","Youth/4-H Horse (Prospect) Endurance Riding (Prospect) Halter (Prospect) Western Pleasure (Show) (Prospect) Beginner/Family (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2885188.html"
"4331","George",1500,"Gelding","14.0 hands","Chestnut","Bernville, Pennsylvania","Star, Stripe, Sock","","Jan-98","","",4,"http://www.equine.com/horses-for-sale/horse-ad-2372853.html"
"7040","Elvis",19500,"Gelding","14.3 hands","Sorrel","Weatherford, Texas","","","May-99","AQHA - American Quarter Horse Association ()","Barrel Racing  Racing  Cutting  Team Penning  Ranch Sorting ",2,"http://www.equine.com/horses-for-sale/horse-ad-2838315.html"
"4723","Aidan",500,"Gelding","14.3 hands","Grey","Colesville, New Jersey","","900 pounds","Jan-01","","",4,"http://www.equine.com/horses-for-sale/horse-ad-2816069.html"
"4493","Skene Crest Carob",2000,"Mare","15.3 hands","Bay","Miamisburg, Ohio","","","Jun-93","IAHA - Half-Arabian Horse Association (AA8477)","Hunter (Champion) Dressage (Champion) Eventing (Competed or Shown) Lesson Horse (Champion) Youth/4-H Horse (Champion)",2,"http://www.equine.com/horses-for-sale/horse-ad-2843145.html"
"182","High Dollar Gamble",6500,"Gelding","14.3 hands","Bay","Dallas, Texas","","1100 pounds","Apr-01","AQHA - American Quarter Horse Association (4171366 )","Cutting (Trained) Team Sorting (Trained) Trail Horse (Trained) Youth/4-H Horse (Trained) Beginner/Family (Trained)",1,"http://www.equine.com/horses-for-sale/horse-ad-2837717.html"
"6505","VHF Scent of Jasmine",5000,"Mare","15.0 hands","Bay","Moneta, Virginia","","","Mar-08","ASHA - American Saddlebred Horse Association ()","Country Pleasure (Prospect) Lesson Horse (Prospect) Equitation (Prospect)",5,"http://www.equine.com/horses-for-sale/horse-ad-2845553.html"
"2453","Dont Forget About Me",500,"Mare","14.3 hands","Grey","sCOTTSBLUFF, Nebraska","","","May-97","AQHA - American Quarter Horse Association ()","Brood Mare  Breeding ",1,"http://www.equine.com/horses-for-sale/horse-ad-2799700.html"
"5715","CDF Frankie goes To Hollywood",8000,"Stallion","13.3 hands","Black","Fountain, Michigan","Blaze, two white hind feet","","Apr-05","Gypsy Horse Registry of America (A100000184)","Pleasure Driving  Driving  Trail Horse  Breeding ",2,"http://www.equine.com/horses-for-sale/horse-ad-2881132.html"
"7899","None In Captivity",2000,"Mare","","Bay","Milton, Vermont","","","Jan-04","","Brood Mare ",2,"http://www.equine.com/horses-for-sale/horse-ad-2819603.html"
"4624","Henry",600,"Gelding","13.1 hands","Pinto","pt orange, Florida","","","Aug-10","","",1,"http://www.equine.com/horses-for-sale/horse-ad-2839868.html"
"3048","Jay",0,"Gelding","15.1 hands","Bay","Weathersfield, Vermont","","","May-07","AMHA - American Morgan Horse Association ()","Companion Only ",3,"http://www.equine.com/horses-for-sale/horse-ad-2748330.html"
"6846","Lovely Promise",1200,"Mare","16.1 hands","Bay","Canterbury, Connecticut","Three socks, star, and snip.","","Apr-06","JC - Jockey Club ()","Hunter (Prospect) Equitation (Prospect) Dressage (Prospect) Brood Mare (Prospect) Breeding (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2840210.html"
"6641","Delilah",1500,"Mare","13.0 hands","Palomino","Broomall, Pennsylvania","Blaze","","Jan-00","","Beginner/Family  Trail Horse  Lesson Horse ",1,"http://www.equine.com/horses-for-sale/horse-ad-2844569.html"
"2255","Periaptors Hot Toddy",2500,"Stallion","","Chestnut","New Galilee, Pennsylvania","","","Jun-12","ASHA - American Saddlebred Horse Association (125028)","Not Applicable ",1,"http://www.equine.com/horses-for-sale/horse-ad-2720863.html"
"3853","Jim Dear (JD)",2000,"Gelding","15.3 hands","Bay","Malibu , California","","","Jun-98","","Ranch Horse  Trail Horse  Western Pleasure ",2,"http://www.equine.com/horses-for-sale/horse-ad-2885971.html"
"4721","Nikki",400,"Mare","14.3 hands","Bay","Colesville, New Jersey","","850 pounds","Mar-09","","",5,"http://www.equine.com/horses-for-sale/horse-ad-2816073.html"
"6124","Sunny",1200,"Mare","13.2 hands","Palomino","Morgantown , Indiana","paint coloring blaze and four white socks","900 pounds","Jun-05","","Youth/4-H Horse (Trained) English Pleasure (Prospect) Jumper (Prospect) Lesson Horse (Trained) Trail Horse (Champion)",4,"http://www.equine.com/horses-for-sale/horse-ad-2854095.html"
"8987","PR Doc Remedy",11500,"Gelding","15.0 hands","Bay","Wellington, Colorado","Star, snip, left hind sock and freeze branded w/ Dedmon brand left hip","1100 pounds","Mar-02","AQHA - American Quarter Horse Association (4348556)","Reined Cow Horse (Prospect) Working Cow Horse (Prospect) Team Sorting (Champion) Ranch Sorting (Champion) Cutting (Champion)",1,"http://www.equine.com/horses-for-sale/horse-ad-2773599.html"
"949","Desert Golden",2500,"Mare","15.0 hands","Chestnut","Fairhope, Alabama","star strip snip 2 socks","","May-00","AHA - Arabian Horse Association (581416)","Halter (Champion) Brood Mare (Prospect)",6,"http://www.equine.com/horses-for-sale/horse-ad-2886011.html"
"7927","Rio's Revenge",15000,"Gelding","17.1 hands","Grey","Timmins, Ontario, Canada","None","1300 pounds","Jan-04","","Equitation (Champion) Hunter (Champion) Hunter Under Saddle (Champion) English Pleasure (Champion)",1,"http://www.equine.com/horses-for-sale/horse-ad-2817854.html"
"6270","Linus",4500,"Gelding","15.1 hands","Black","Harrisburg, Pennsylvania","","","May-06","","Hunter (Prospect) Eventing (Prospect) Field Hunter (Prospect) Dressage (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2850657.html"
"5156","Dixie",4000,"Mare","14.2 hands","Palomino","Fenelton, Pennsylvania","","","May-04","AQHA - American Quarter Horse Association ()","Eventing (Competed or Shown) Western Pleasure (Competed or Shown) Judged Pleasure Rides (Competed or Shown) Trail Horse (Trained)",3,"http://www.equine.com/horses-for-sale/horse-ad-2801717.html"
"6602","High Brow Chrome",3000,"Gelding","14.0 hands","Dun","Qunicy, California","","","Mar-10","AQHA - American Quarter Horse Association ()","Cutting (Trained) Ranch Horse (Trained) Reined Cow Horse (Trained) Reining (Trained) Working Cow Horse (Trained)",5,"http://www.equine.com/horses-for-sale/horse-ad-2845274.html"
"8983","TIMES ARE SWEET",5000,"Mare","14.1 hands","Buckskin","Murrieta, California","TRI-COLORED","750 pounds","Feb-12","APHA - American Paint Horse Association (1021837)","Halter (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2773730.html"
"2506","my magic kid",1900,"Mare","15.1 hands","Sorrel","Terrell, Texas","","1100 pounds","Apr-04","AQHA - American Quarter Horse Association (4562648)","Halter  Brood Mare ",1,"http://www.equine.com/horses-for-sale/horse-ad-2801021.html"
"2611","GINNY",4500,"Mare","13.3 hands","Sorrel","Ashville, New York","tri-color","1000 pounds","May-07","","Endurance Riding (Trained) Driving (Trained) Cowboy Mounted Shooting (Prospect) Brood Mare (Prospect) Barrel Racing (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2429606.html"
"8639","Pinkie Pie",0,"Mare","11.2 hands","Palomino","Saint Lazare, Quebec, Canada","","","Jan-06","","Hunter (Prospect) Dressage (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2802510.html"
"3072","Ben",25000,"Gelding","17.2 hands","Grey","Newfane, Vermont","","","Jan-01","","Dressage ",5,"http://www.equine.com/horses-for-sale/horse-ad-2747493.html"
"4788","Brunka from Saga California",5500,"Mare","13.2 hands","Brown","Knoxville, Tennessee","","800 pounds","Jun-93","USIHC (US93200596)","Trail Horse  English Pleasure ",2,"http://www.equine.com/horses-for-sale/horse-ad-2565670.html"
"4356","MISTER",500,"Gelding","15.0 hands","Dun","Eagle, Colorado","Handsome dun with white blanket.","1000 pounds","Apr-02","ApHC - Appaloosa Horse Club (613734)","Cowboy Mounted Shooting (Prospect) English Pleasure (Prospect) Ranch Horse (Prospect) Trail Horse (Prospect) Youth/4-H Horse (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2752617.html"
"4130","Reyjay Catt",12750,"Gelding","","Bay","Grants Pass, Oregon","2.5 white pasterns","","May-11","AQHA - American Quarter Horse Association (5417086)","Cutting (Prospect)",2,"http://www.equine.com/horses-for-sale/horse-ad-2850566.html"
"5710","Crusaders PrinceMcCue",3000,"Gelding","14.2 hands","Other","Tularosa, New Mexico","Bay and White, Stockings, Bald face","860 pounds","Mar-08","APHA - American Paint Horse Association ()","Western Riding (Rank Not Applicable) English Pleasure (Rank Not Applicable)",3,"http://www.equine.com/horses-for-sale/horse-ad-2881491.html"
"874","Tango",9000,"Gelding","16.3 hands","Bay","Friedens, Pennsylvania","","1100 pounds","May-07","","Jumper (Competed or Shown) Hunter (Competed or Shown) Field Hunter (Trained) Eventing (Competed or Shown) Dressage (Competed or Shown)",5,"http://www.equine.com/horses-for-sale/horse-ad-2887990.html"
"5077","Red Saxon",3000,"Gelding","15.3 hands","Chestnut","Oxford, Mississippi","White socks, star, stripe, muzzle","1000 pounds","Jan-06","","Jumper (Trained) Eventing (Prospect) Field Hunter (Prospect) Hunter (Prospect)",3,"http://www.equine.com/horses-for-sale/horse-ad-2803736.html"
